Stress,Ref
-4.106435001047914479e-02,1.501228701380051198e-02
-3.941811193432595561e-02,1.430207904922336723e-02
-3.448162808467649526e-02,1.367973577372734104e-02
-3.321395170430717358e-02,1.312326580067054577e-02
-3.068017636089451911e-02,1.258884575519898796e-02
-2.703398880098646304e-02,1.211152025505706810e-02
-2.621977850296140430e-02,1.164774219436197529e-02
-2.429965920107035257e-02,1.123888198113246785e-02
-2.250743429906125470e-02,1.087246851618883792e-02
-2.038720774568707206e-02,1.050026988522726606e-02
-1.915216362121263324e-02,1.015800394513262199e-02
-1.822005916612473922e-02,9.835401397011084290e-03
-1.677078468315174042e-02,9.547800805564728155e-03
-1.617245296958192552e-02,9.265750659627767019e-03
-1.504226438865400098e-02,8.992267783737529704e-03
-1.440825764821812398e-02,8.739751108381807465e-03
1.015323049719407678e+01,9.817472923219954239e-01
3.619113218415797029e+00,7.363104692414952357e-01
1.494194835231770213e+00,4.170821830126128504e-01
4.278994660950036888e+00,2.609031597343885456e-01
4.308940407734086264e+00,1.624182406659809286e-01
1.280927367465067634e+00,1.156743169772694591e-01
-5.807062582759179303e-01,8.191060709422086361e-02
-9.580994544181903327e-01,6.663712445372602100e-02
-1.053586704979174948e+00,5.570495076590822880e-02
-9.337756221444155624e-01,4.840214871153222798e-02
-7.980328322600277469e-01,4.233574223064839187e-02
-6.702510992220163111e-01,3.729057564486907422e-02
-5.715798815043334757e-01,3.362423213162333419e-02
-4.633861595345176165e-01,3.014041575762180930e-02
-4.107443437841629130e-01,2.754001701729626855e-02
-3.441562073027172874e-01,2.536201206239328126e-02
-3.006956475255934680e-01,2.351534235203056253e-02
-2.636521896129995213e-01,2.194937125707843023e-02
-2.284647931334358173e-01,2.053023641659493942e-02
-2.064206713384245107e-01,1.928067800431185197e-02
-1.807269839264859790e-01,1.815361826283786242e-02
-1.634677620415034283e-01,1.720936473097391117e-02
-1.449758498413046548e-01,1.631149990056327340e-02
-1.337042462973551671e-01,1.550530669244523652e-02
-1.229335041907697879e-01,1.476944726356564132e-02
-1.113649704345095470e-01,1.413061577986129622e-02
-1.031574441282372412e-01,1.352540566058012782e-02
-9.147209503069429759e-02,1.295679786952699461e-02
-8.658688193545643896e-02,1.242494734146525406e-02
-7.912097602969418719e-02,1.196199539600929437e-02
-7.453494329243615102e-02,1.153052513210217102e-02
-6.856328703612943332e-02,1.113568499668005432e-02
-6.343069255692425357e-02,1.075191344221118617e-02
-5.991314901321592029e-02,1.039369155900011013e-02
-5.577235401376995361e-02,1.007299952543971346e-02
-5.184677435309443388e-02,9.748583324405481546e-03
-4.959544924677175559e-02,9.458277549334072332e-03
-4.608054794696508222e-02,9.183590844024950781e-03
-4.374621384486714060e-02,8.923568643921740359e-03
-4.113634608000635989e-02,8.679817912366520269e-03
1.015323049719409987e+01,9.817472923219976444e-01
nan,nan
1.793075526538050024e+00,4.261055956258669175e-01
2.534925504876472058e+00,2.180611774292126326e-01
2.400931725683906226e+00,1.487675916026063028e-01
4.238197170470309194e-01,1.005836499229226383e-01
-6.375397212281291859e-01,8.114288109591746845e-02
-1.136474171832273061e+00,6.425539840407246128e-02
-1.250976761031919571e+00,5.431557185043721370e-02
-1.162125358585804902e+00,4.593428525619154545e-02
-1.021459788419164960e+00,4.049124392552611723e-02
-8.957663107092055377e-01,3.604908320006698641e-02
-7.612223067841682456e-01,3.238131418295851077e-02
-6.631157712292734541e-01,2.937921586116811964e-02
