MAS,Ref
2.442287663475928294e-02,1.234171397111434067e-02
2.083061805541952527e-02,1.185918971889582570e-02
1.916496414626964184e-02,1.141422074024965594e-02
1.714043784149432703e-02,1.102595691732007055e-02
1.636125667203189304e-02,1.064520043677981767e-02
1.452982037145044564e-02,1.029999771699459214e-02
1.274540321008682010e-02,9.977180364658463571e-03
1.281471029735323751e-02,9.673605662022162835e-03
1.162403599472003855e-02,9.384726849092766068e-03
1.098373683270404896e-02,9.108575933989983275e-03
9.829799757649818059e-03,8.851016945281181200e-03
9.107557741677665963e-03,8.599892741236878774e-03
8.777078297492191261e-03,8.371524527341776128e-03
8.214240993615966671e-03,8.163993324920564010e-03
7.415049316265832913e-03,7.960188675906790592e-03
-2.600648577360966662e-01,inf
-9.824001542713903801e-01,2.208931407724491758e-01
8.653750589038645691e-01,1.336894061862488048e-01
3.680182808734697719e+00,8.914712941091133824e-02
-3.981886023506401528e+00,6.796721749124406964e-02
-4.028271128700382953e+00,5.810032699630327674e-02
-2.139085697860310997e+00,4.845524426706452475e-02
-1.158266857977622522e+00,4.213679012450496225e-02
-7.351121975838541545e-01,3.672720423574175191e-02
-5.209418659197669887e-01,3.275915044913863677e-02
-3.879859605122235600e-01,3.020753599830050540e-02
-2.830954343016965913e-01,2.742607874063170831e-02
-2.176758730832356048e-01,2.507836419979197692e-02
-1.814303093049703108e-01,2.318815547301849092e-02
-1.518354050196341620e-01,2.169486763848258240e-02
-1.343648142192459538e-01,2.034194290004722946e-02
-1.038750089769679003e-01,1.900398037299967646e-02
-9.217591110830591905e-02,1.790767381837354844e-02
-7.852193603810801725e-02,1.696479658052189518e-02
-6.787240614777645398e-02,1.610899864804742065e-02
-6.481473878207300032e-02,1.532003951166619957e-02
-5.379494522993903682e-02,1.462469340777423389e-02
-5.057296246879224022e-02,1.399316246606699919e-02
-4.792593708064376429e-02,1.338555826273709302e-02
-4.146593570389803945e-02,1.284637692676680355e-02
-3.973665740149254222e-02,1.232150737297588866e-02
-3.473175482785095108e-02,1.185104432522002607e-02
-3.341830694833034660e-02,1.143204896007878578e-02
-3.084541153939683242e-02,1.102191750355679956e-02
-2.716660164742517106e-02,1.065040756874917685e-02
-2.633027860925466271e-02,1.028993077800496522e-02
-2.439136298846204462e-02,9.968274194009878533e-03
-2.258422329977570822e-02,9.678339222533556899e-03
-2.045072447500670063e-02,9.379676099768266551e-03
-1.920576866429388532e-02,9.104563269490693195e-03
-1.826567350151950958e-02,8.843976812214968813e-03
-1.680961518683146347e-02,8.609678280405342124e-03
-1.620589987264722115e-02,8.379679044587532571e-03
-1.507085503998464512e-02,8.154015125741233966e-03
-1.443310406111431715e-02,7.945536941686077645e-03
6.628757717758113621e-01,inf
-6.103424741636602757e-01,2.265570674589216238e-01
1.101250481479891352e+00,1.193866899599712594e-01
2.154833859426575238e+00,9.193689925458785328e-02
-1.581859959699662310e+00,7.078591687486640582e-02
-3.667048011710721589e+00,5.794424223868266388e-02
-2.742588899636816624e+00,4.713939248980432428e-02
-2.010508008105062583e+00,4.118230492382531083e-02
-1.528953052701268689e+00,3.661240518314326509e-02
-1.162956980354675984e+00,3.312770882507938552e-02
-9.144871605767399547e-01,3.006764198805744748e-02
-7.314434079524461119e-01,2.734790410577602263e-02
-6.072654515924570395e-01,2.529145951709853984e-02
-4.839150213530200029e-01,2.317408427370954219e-02
-4.236130872919196544e-01,2.161254051883705618e-02
-3.525094348190419002e-01,2.020452959702327342e-02
-3.063036825835243615e-01,1.900388146301729142e-02
-2.675416814898723961e-01,1.795822290114780159e-02
-2.311994338537438909e-01,1.697867396668756648e-02
-2.083902134863891975e-01,1.611494937965307975e-02
-1.821664592063853561e-01,1.530478296244541098e-02
-1.645479417717219117e-01,1.462691652236265683e-02
-1.457914977636068643e-01,1.396297634937296132e-02
-1.343307304819996439e-01,1.336917563444683932e-02
-1.234192707057038818e-01,1.281783948529970595e-02
-1.117490422471070638e-01,1.232966847469413492e-02
-1.034631356913839895e-01,1.186644292609381236e-02
-9.171727732669902877e-02,1.141587452274205571e-02
-8.678294037597349131e-02,1.100426595930622045e-02
-7.928254007784743540e-02,1.063542861936842172e-02
-7.466749226686351937e-02,1.029483289527793367e-02
-6.867420484521596924e-02,9.975806984615816220e-03
-6.352264211582560327e-02,9.664488940798996591e-03
-5.999038402278091681e-02,9.374541913271998081e-03
