Stress,Ref
-3.598569444444445209e-02,1.813789765105972354e-02
-7.082540277777776491e-03,1.955673133278202497e-02
3.815704999999999791e-02,2.077558829775885685e-02
9.480395833333335465e-02,2.167620916554762259e-02
1.484505555555555301e-01,2.215644406088113777e-02
1.773102083333333301e-01,2.224692820565048190e-02
1.618605555555555631e-01,2.224692820565048190e-02
9.762486111111114140e-02,2.215644406088113430e-02
7.565270833333336171e-04,2.167620916554761912e-02
-9.978340277777776601e-02,2.077558829775886379e-02
-1.776909722222222154e-01,1.955673133278202150e-02
-2.203640972222222216e-01,1.813789765105972354e-02
-2.295237499999999708e-01,1.662977461072073088e-02
-2.149168750000000072e-01,1.512102891167485877e-02
-1.875947916666666493e-01,1.367370748222369002e-02
-1.561627083333333721e-01,1.232543112132720824e-02
-1.258931944444444395e-01,1.109470490756741222e-02
-9.933638888888889074e-02,9.986706216815900011e-03
-7.728645833333333548e-02,8.998215659056202353e-03
-5.959430555555555314e-02,8.121288330025564980e-03
-4.570083333333332248e-02,7.345746724055072195e-03
-3.493395833333333422e-02,6.660750947255219580e-03
-2.665511805555555516e-02,6.055715914333389092e-03
-2.031550000000000369e-02,5.520797271978266328e-03
-1.546903472222222256e-02,5.047107867544410771e-03
-1.207536666666666689e-02,4.665748886653127599e-03
-3.110448611111110533e-03,4.827809029248268484e-03
-4.355500000000000864e-03,5.287276627517199269e-03
-5.987847222222221662e-03,5.809452117488901959e-03
-8.123777777777778375e-03,6.404785458318269266e-03
-1.091049305555555349e-02,7.085503325932687897e-03
-1.452952083333332832e-02,7.865765416299620033e-03
-1.919449999999999976e-02,8.761694058258452308e-03
-2.513603472222222107e-02,9.791140791062793655e-03
-3.255958333333333621e-02,1.097296081854091596e-02
-4.154833333333332601e-02,1.232543112132720303e-02
-5.187416666666665871e-02,1.386327546739170476e-02
-6.265222222222224802e-02,1.559259778864196394e-02
-7.179229166666667439e-02,1.750302357394714625e-02
-7.528909722222222600e-02,1.955683731683026394e-02
-6.667597222222222675e-02,2.167641584832116081e-02
-3.760059583333331956e-02,2.373424186494170474e-02
1.881493472222221797e-02,2.555362690659996813e-02
1.006161111111111006e-01,2.692982186798325434e-02
1.883072222222222369e-01,2.767502746718587120e-02
2.441363194444443885e-01,2.781638658674726733e-02
2.290736111111111029e-01,2.781638658674726733e-02
1.312668750000000051e-01,2.767502746718587120e-02
-1.941090409722222299e-02,2.692982186798325434e-02
-1.685858333333333237e-01,2.555362690659996119e-02
-2.715508333333332969e-01,2.373424186494170474e-02
-3.136629166666666801e-01,2.167641584832116081e-02
-3.059611111111110171e-01,1.955683731683026394e-02
-2.692112499999999020e-01,1.750302357394714625e-02
-2.216874305555555369e-01,1.559259778864196047e-02
-1.748732638888888524e-01,1.386327546739170476e-02
-1.341899999999999760e-01,1.232543112132720477e-02
-1.012027083333333077e-01,1.097296081854091943e-02
