lat,lon,mag,depth
2.439999999999999858e+01,1.210199999999999960e+02,3.250000000000000000e+00,3.600000000000000089e+00
2.414999999999999858e+01,1.214599999999999937e+02,4.139999999999999680e+00,1.119999999999999929e+01
2.413599999999999923e+01,1.214410000000000025e+02,4.200000000000000178e+00,2.899999999999999911e+00
2.357999999999999829e+01,1.209500000000000028e+02,3.149999999999999911e+00,4.500000000000000000e+00
2.398400000000000176e+01,1.206479999999999961e+02,3.319999999999999840e+00,1.180000000000000071e+01
2.357400000000000162e+01,1.208279999999999887e+02,3.689999999999999947e+00,7.400000000000000355e+00
2.417000000000000171e+01,1.214300000000000068e+02,3.259999999999999787e+00,6.200000000000000178e+00
2.422400000000000020e+01,1.211820000000000022e+02,3.899999999999999911e+00,7.000000000000000000e+00
2.419999999999999929e+01,1.213700000000000045e+02,3.819999999999999840e+00,7.200000000000000178e+00
2.423999999999999844e+01,1.211899999999999977e+02,3.709999999999999964e+00,3.399999999999999911e+00
2.412999999999999901e+01,1.210100000000000051e+02,3.169999999999999929e+00,2.039999999999999858e+01
2.360999999999999943e+01,1.210000000000000000e+02,3.009999999999999787e+00,3.200000000000000178e+00
2.392999999999999972e+01,1.210300000000000011e+02,3.439999999999999947e+00,9.699999999999999289e+00
2.426999999999999957e+01,1.210900000000000034e+02,3.319999999999999840e+00,1.419999999999999929e+01
2.398000000000000043e+01,1.213400000000000034e+02,3.720000000000000195e+00,6.500000000000000000e+00
2.394999999999999929e+01,1.211899999999999977e+02,3.620000000000000107e+00,1.069999999999999929e+01
2.416000000000000014e+01,1.210300000000000011e+02,3.279999999999999805e+00,1.140000000000000036e+01
2.425000000000000000e+01,1.211099999999999994e+02,3.689999999999999947e+00,5.700000000000000178e+00
2.371999999999999886e+01,1.209099999999999966e+02,3.189999999999999947e+00,1.090000000000000036e+01
2.425000000000000000e+01,1.210900000000000034e+02,3.069999999999999840e+00,5.200000000000000178e+00
2.419000000000000128e+01,1.212199999999999989e+02,3.120000000000000107e+00,8.400000000000000355e+00
2.361499999999999844e+01,1.207860000000000014e+02,3.450000000000000178e+00,4.900000000000000355e+00
